,number,title,subtitle,authors,publisher,published_date,category,distribution_expense
3199,9781790000000,Scala: Guide for Data Science Professionals,,"Pascal Bugnion, Arun Manivannan, Patrick R. Nicolas",Packt Publishing Ltd,2017-02-24,SQL,5.6
3200,9798570000000,Step Up for Leadership in Enterprise Data Science & Artificial Intelligence with Big Data,Illustrations with R & Python,Shitalkumar R Sukhdeve,Independently Published,2020-11-27,SQL,4.55
3201,9783320000000,Computing with Data,An Introduction to the Data Industry,"Guy Lebanon, Mohamed El-Geish",Springer,2018-11-28,SQL,5.6
3202,9781790000000,Introduction to Biomedical Data Science,,"Robert Hoyt, Robert Muenchen",Lulu.com,2019-11-25,SQL,4.22
3203,9781790000000,Mastering pandas,"A complete guide to pandas, from installation to advanced data analysis techniques, 2nd Edition",Ashish Kumar,Packt Publishing Ltd,2019-10-25,SQL,3.19
3204,9781800000000,Machine Learning with BigQuery ML,"Create, execute, and improve machine learning models in BigQuery using standard SQL queries",Alessandro Marrandino,Packt Publishing Ltd,2021-11-06,SQL,6.9
3205,9780130000000,Practical Data Science with Hadoop and Spark,Designing and Building Effective Analytics at Scale,"Ofer Mendelevitch, Casey Stella, Douglas Eadline",Addison-Wesley Professional,2016-08-12,SQL,7.3
3206,9789390000000,Learn SQL with MySQL,Retrieve and Manipulate Data Using SQL Commands with Ease,Ashwin Pajankar,BPB Publications,2020-07-18,SQL,4.55
3207,9783320000000,Big Data in Healthcare,Extracting Knowledge from Point-of-Care Machines,"Pouria Amirian, Trudie Lang, Francois van Loggerenberg",Springer,2017-09-18,SQL,5.6
3208,9780140000000,T-SQL Window Functions,For data analysis and beyond,Itzik Ben-Gan,Microsoft Press,2019-10-18,SQL,4.22
3209,9789360000000,Capitalizing Data Science,A Guide to Unlocking the Power of Data for Your Business and Products (English Edition),Mathangi Sri Ramachandran,BPB Publications,2022-03-12,SQL,3.19
3210,9781100000000,Data Science on the Google Cloud Platform,,Valliappa Lakshmanan,"""O'Reilly Media, Inc.""",2022-03-29,SQL,6.9
3211,9780710000000,30-Second Data Science,"The 50 Key Principles and Innovations in the Field of Data-Gathering, Each Explained in Half a Minute",Liberty Vittert,30 Second,2020-09-29,SQL,7.3
3212,9780260000000,Case Studies in Neural Data Analysis,A Guide for the Practicing Neuroscientist,"Mark A. Kramer, Uri T. Eden",MIT Press,2016-10-28,SQL,4.55
3213,9781790000000,Mastering Spark for Data Science,,"Andrew Morgan, Antoine Amend, David George, Matthew Hallett",Packt Publishing Ltd,2017-03-29,SQL,5.6
3214,9783030000000,Computer Science and Education in Computer Science,"18th EAI International Conference, CSECS 2022, On-Site and Virtual Event, June 24-27, 2022, Proceedings","Tanya Zlateva, Rossitza Goleva",Springer Nature,2022-04-12,SQL,4.22
3215,9781450000000,Learning Spark,Lightning-Fast Big Data Analysis,"Holden Karau, Andy Konwinski, Patrick Wendell, Matei Zaharia","""O'Reilly Media, Inc.""",2015-01-28,SQL,3.19
3216,9781110000000,Networks of Networks in Biology,"Concepts, Tools and Applications","Narsis A. Kiani, David Gomez-Cabrero, Ginestra Bianconi",Cambridge University Press,2021-03-31,SQL,6.9
3217,9781490000000,Learning Spark,,"Jules S. Damji, Brooke Wenig, Tathagata Das, Denny Lee","""O'Reilly Media, Inc.""",2020-07-16,SQL,7.3
3218,9781480000000,Expert T-SQL Window Functions in SQL Server 2019,The Hidden Secret to Fast Analytic and Reporting Queries,"Kathi Kellenberger, Clayton Groom, Ed Pollack",Apress,2019-10-21,SQL,4.55
3219,9781100000000,"Azure AI Services at Scale for Cloud, Mobile, and Edge",,"Simon Bisson, Mary Branscombe, Chris Hoder, Anand Raman","""O'Reilly Media, Inc.""",2022-11-04,SQL,5.6
3220,9781120000000,Information Technology for Management,"Driving Digital Transformation to Increase Local and Global Performance, Growth and Sustainability","Efraim Turban, Carol Pollard, Gregory Wood",John Wiley & Sons,2021-06-04,SQL,4.22
3221,9780140000000,Programming Skills for Data Science,"Start Writing Code to Wrangle, Analyze, and Visualize Data with R","Michael Freeman, Joel Ross",Addison-Wesley Professional,2018-11-23,SQL,3.19
3222,9783320000000,Data Science and Predictive Analytics,Biomedical and Health Applications using R,Ivo D. Dinov,Springer,2018-08-27,SQL,6.9
3223,9781120000000,Women of Color in Tech,A Blueprint for Inspiring and Mentoring the Next Generation of Technology Innovators,Susanne Tedrick,John Wiley & Sons,2020-03-18,SQL,7.3
3224,9781790000000,Machine Learning for the Web,,Andrea Isoni,Packt Publishing Ltd,2016-07-29,SQL,4.55
3225,9781490000000,97 Things Every Data Engineer Should Know,,Tobias Macey,"""O'Reilly Media, Inc.""",2021-11-06,SQL,5.6
3226,9781490000000,The Enterprise Big Data Lake,Delivering the Promise of Big Data and Data Science,Alex Gorelik,"""O'Reilly Media, Inc.""",2019-02-21,SQL,4.22
3227,9780360000000,Concepts of Database Management,,"Lisa Friedrichsen, Lisa Ruffolo, Ellen Monk, Joy L. Starks, Philip J. Pratt",Cengage Learning,2020-02-25,SQL,3.19
3228,9780130000000,Intelligence-Based Medicine,Artificial Intelligence and Human Cognition in Clinical Medicine and Healthcare,Anthony C. Chang,Academic Press,2020-06-27,SQL,6.9
3229,9781000000000,It's All Analytics - Part II,"Designing an Integrated AI, Analytics, and Data Science Architecture for Your Organization","Scott Burk, David Sweenor, Gary Miner",CRC Press,2021-02-09,SQL,7.3
3230,9781790000000,Effective Amazon Machine Learning,,Alexis Perrier,Packt Publishing Ltd,2017-04-25,SQL,4.55
3231,1786466457,Big Data Analytics with R,,Simon Walkowiak,Packt Publishing,2016-07-29,SQL,5.6
3232,9781350000000,Business Analytics,A Management Approach,"Richard Vidgen, Sam Kirshner, Felix Tan",Bloomsbury Publishing,2019-09-28,SQL,4.22
3233,9780130000000,Modern Analytics Methodologies,Driving Business Value with Analytics,"Michele Chambers, Thomas W Dinsmore",Pearson Education,2014-09-07,SQL,3.19
3234,1484273826,Beginning Apache Spark 3,"With DataFrame, Spark SQL, Structured Streaming, and Spark Machine Learning Library",Hien Luu,Apress,2021-10-23,SQL,6.9
3235,9783030000000,Behavioral Competencies of Digital Professionals,Understanding the Role of Emotional Intelligence,"Sara Bonesso, Elena Bruni, Fabrizio Gerli",Springer Nature,2019-12-18,SQL,7.3
3236,9783320000000,Data Science for Transport,A Self-Study Guide with Computer Exercises,Charles Fox,Springer,2018-02-27,SQL,4.55
3237,9781490000000,Applied Natural Language Processing in the Enterprise,,"Ankur A. Patel, Ajay Uppili Arasanipalai","""O'Reilly Media, Inc.""",2021-12-05,SQL,5.6
3238,9781520000000,Handbook of Research on Big Data Storage and Visualization Techniques,,"Segall, Richard S., Cook, Jeffrey S.",IGI Global,2018-05-01,SQL,4.55
3239,9781800000000,Limitless Analytics with Azure Synapse,"An end-to-end analytics service for data processing, management, and ingestion for BI and ML requirements","Prashant Kumar Mishra, Mukesh Kumar",Packt Publishing Ltd,2021-06-18,SQL,5.6
3240,1484266056,Beginning T-SQL,A Step-by-Step Approach,"Kathi Kellenberger, Lee Everest",Apress,2020-12-30,SQL,4.22
3241,9781530000000,The SAGE Handbook of Research Methods in Political Science and International Relations,,Luigi Curini,SAGE,2020-09-04,SQL,3.19
3242,9781790000000,Learning Spark SQL,,Aurobindo Sarkar,Packt Publishing Ltd,2017-07-09,SQL,6.9
3243,9789360000000,Mastering Databricks Lakehouse Platform,"Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)","Sagar Lad, Anjani Kumar",BPB Publications,2022-11-07,SQL,7.3
3244,9781800000000,Geospatial Analysis with SQL,A hands-on guide to performing geospatial analysis by unlocking the syntax of spatial SQL,Bonny P McClain,Packt Publishing Ltd,2023-01-27,SQL,4.55
3245,9781120000000,Professional Hadoop Solutions,,"Boris Lublinsky, Kevin T. Smith, Alexey Yakubovich",John Wiley & Sons,2013-09-23,SQL,5.6
3246,1937842479,SQL Database Programming (Fifth Edition),,Chris Fehily,Questing Vole Press,2020-01-31,SQL,4.22
3247,9781490000000,Principles of Data Wrangling,Practical Techniques for Data Preparation,"Tye Rattenbury, Joseph M. Hellerstein, Jeffrey Heer, Sean Kandel, Connor Carreras","""O'Reilly Media, Inc.""",2017-06-29,SQL,3.19
3248,9781790000000,Big Data Analytics with R,,Simon Walkowiak,Packt Publishing Ltd,2016-07-29,SQL,6.9
3249,9783660000000,Data Science – Analytics and Applications,Proceedings of the 2nd International Data Science Conference – iDSC2019,"Peter Haber, Thomas Lampoltshammer, Manfred Mayr",Springer-Verlag,2019-09-10,SQL,7.3
3250,9781840000000,Hands-On Big Data Analytics with PySpark,"Analyze large datasets and discover techniques for testing, immunizing, and parallelizing Spark jobs","Rudy Lai, Bartłomiej Potaczek",Packt Publishing Ltd,2019-03-29,SQL,4.55
3251,9781800000000,The Artificial Intelligence Infrastructure Workshop,Build your own highly scalable and robust data storage systems that can support a variety of cutting-edge AI applications,"Chinmay Arankalle, Gareth Dwyer, Bas Geerdink, Kunal Gera, Kevin Liao, Anand N.S.",Packt Publishing Ltd,2020-08-17,SQL,5.6
3252,9781550000000,Power BI Data Analysis and Visualization,,"Suren Machiraju, Suraj Gaurav",Walter de Gruyter GmbH & Co KG,2018-10-09,SQL,4.22
3253,9781100000000,Advanced Analytics with PySpark,,"Akash Tandon, Sandy Ryza, Uri Laserson, Sean Owen, Josh Wills","""O'Reilly Media, Inc.""",2022-06-14,SQL,3.19
3254,9781100000000,Data Quality Fundamentals,,"Barr Moses, Lior Gavish, Molly Vorwerck","""O'Reilly Media, Inc.""",2022-01-09,SQL,6.9
3255,1484270606,Beginning Azure Synapse Analytics,Transition from Data Warehouse to Data Lakehouse,Bhadresh Shiyal,Apress,2021-09-26,SQL,7.3
3256,9781100000000,Fundamentals of Data Engineering,,"Joe Reis, Matt Housley","""O'Reilly Media, Inc.""",2022-06-22,SQL,4.55
3257,9781480000000,Pro Spark Streaming,The Zen of Real-Time Analytics Using Apache Spark,Zubair Nabi,Apress,2016-06-13,SQL,5.6
3258,9781800000000,Automated Machine Learning with Microsoft Azure,Build highly accurate and scalable end-to-end AI solutions with Azure AutoML,Dennis Michael Sawyers,Packt Publishing Ltd,2021-04-23,SQL,4.22
3259,1484257804,Beginning Spark Using Azure Databricks,Unleashing Large Cluster Analytics in the Cloud,Robert Ilijason,Apress,2020-07-27,SQL,3.19
3260,9781800000000,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse","Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way","Manoj Kukreja, Danil Zburivsky",Packt Publishing Ltd,2021-10-22,SQL,6.9
3261,9781790000000,Practical Predictive Analytics,,Ralph Winters,Packt Publishing Ltd,2017-06-30,SQL,7.3
3262,9781800000000,IBM Cloud Pak for Data,"An enterprise platform to operationalize data, analytics, and AI","Hemanth Manda, Sriram Srinivasan, Deepak Rangarao",Packt Publishing Ltd,2021-11-24,SQL,4.55
3263,9781120000000,The Cloud-Based Demand-Driven Supply Chain,,Vinit Sharma,John Wiley & Sons,2018-06-11,SQL,5.6
3264,9789390000000,Hands-on Cloud Analytics with Microsoft Azure Stack,Transform Your Data to Derive Powerful Insights Using Microsoft Azure,Prashila Naik,BPB Publications,2020-12-11,SQL,4.55
3265,9781800000000,Optimizing Databricks Workloads,Harness the power of Apache Spark in Azure and maximize the performance of modern big data workloads,"Anirudh Kala, Anshul Bhatnagar, Sarthak Sarbahi",Packt Publishing Ltd,2021-12-24,SQL,5.6
3266,9781480000000,Deep Learning with Azure,Building and Deploying Artificial Intelligence Solutions on the Microsoft AI Platform,"Mathew Salvaris, Danielle Dean, Wee Hyong Tok",Apress,2018-08-24,SQL,4.22
3267,9781120000000,Microsoft Azure Architect Technologies and Design Complete Study Guide,Exams AZ-303 and AZ-304,"Benjamin Perkins, William Panek",John Wiley & Sons,2021-01-13,SQL,3.19
3268,9781790000000,Big Data Analytics with SAS,Get actionable insights from your Big Data using the power of SAS,David Pope,Packt Publishing Ltd,2017-11-23,SQL,6.9
3269,9781100000000,Hands-On Healthcare Data,,Andrew Nguyen,"""O'Reilly Media, Inc.""",2022-10-08,SQL,7.3
3270,9783320000000,Innovations in Smart Cities and Applications,Proceedings of the 2nd Mediterranean Symposium on Smart City Applications,"Mohamed Ben Ahmed, Anouar Abdelhakim Boudhir",Springer,2018-03-21,SQL,4.55
3271,9781480000000,Python for SAS Users,A SAS-Oriented Introduction to Python,"Randy Betancourt, Sarah Chen",Apress,2019-06-09,SQL,5.6
3272,9781260000000,Real World SQL and PL/SQL: Advice from the Experts,,"Arup Nanda, Brendan Tierney, Heli Helskyaho, Martin Widlake, Alex Nuitjen",McGraw Hill Professional,2016-08-22,SQL,4.22
3273,9781000000000,Democratization of Artificial Intelligence for the Future of Humanity,,Chandrasekar Vuppalapati,CRC Press,2021-01-18,SQL,3.19
3274,1664151281,A Greater Foundation for Machine Learning Engineering,"The Hallmarks of the Great Beyond in Pytorch, R, Tensorflow, and Python",Dr Ganapathi Pulipaka,Xlibris Us,2021-01-10,SQL,6.9
3275,9798850000000,"Use Window Functions To Write Simpler, Better, More Efficient T-SQL Queries",,Donna Wallace,Independently Published,2022-08-13,SQL,7.3
3276,9781640000000,Applying Data Science,Business Case Studies Using SAS,Gerhard Svolba,SAS Institute,2017-03-29,SQL,4.55
3277,9781120000000,Developing Analytic Talent,Becoming a Data Scientist,Vincent Granville,John Wiley & Sons,2014-07-04,SQL,5.6
3278,1839213108,Pandas 1. X Cookbook,"Practical Recipes for Scientific Computing, Time Series Analysis, and Exploratory Data Analysis Using Python, 2nd Edition","Matt Harrison, Theodore Petrou",Packt Publishing,2020-02-27,SQL,4.22
3279,9781840000000,Distributed Data Systems with Azure Databricks,"Create, deploy, and manage enterprise data pipelines",Alan Bernardo Palacio,Packt Publishing Ltd,2021-05-25,SQL,3.19
3280,9780130000000,Real-World Data Mining,Applied Business Analytics and Decision Making,Dursun Delen,FT Press,2014-12-16,SQL,6.9
3281,9781000000000,Game Usability,Advice from the Experts for Advancing UX Strategy and Practice in Videogames,"Katherine Isbister, Celia Hodent",CRC Press,2022-03-14,SQL,7.3
